task_id,question_number,answer,student_answer,issues,is_correct,ai_self_check_passed
ea7935c6-5675-4943-a262-033ab45f13a1,4,1,(1) m²−2m+2=1 → m²−2m+1=0 → (m−1)²=0 → m=1；(2) m²−2m+2=2 → m²−2m=0 → m(m−2)=0 → m=0 或 m=2。,arithmetic_mismatch,false,
87240cbf-abd5-45ea-972d-55befd4037f8,8,m≥0，-m,≤0；,arithmetic_mismatch,true,
7639eee3-2891-43fb-9bb8-8a4346290476,2,"开口方向：向上；对称轴：x=1；顶点坐标：(1,0)；变化规律：当x<1时，y随x增大而减小；当x>1时，y随x增大而增大；有最小值，当x=1时取得最小值0","向上, x=1, (1,0), 最小值, x=1, 0",arithmetic_mismatch,true,
af756133-16f8-4386-8f94-0fb68c95e5f3,1,"y=(x-2)²-4，对称轴：x=2，顶点坐标：(2,-4)，最小值，当x=2时取得","y=(x-2)²-4
直线x=2
(2,-4)
最小值
x=2",arithmetic_mismatch,true,
85e391bf-81f4-4736-9c8d-c811a565643a,2,"开口方向：向上；对称轴：x=1；顶点坐标：(1,0)；变化规律：当x<1时，y随x增大而减小；当x>1时，y随x增大而增大；有最小值，当x=1时取得最小值0","向上, x=1, (1,0), 当x>1时y随x增大而增大；当x<1时y随x增大而减小, 最小值, x=0",arithmetic_mismatch,true,
73e54aef-882f-4647-a3c1-d461cb861c59,4,1,解：(1) 由题意可得 m²−2m+2=1 且 m²+m≠0，解得 m=1。(2) 由题意可得 m²−2m+2=2 且 m²+m≠0，解得 m=2。,arithmetic_mismatch,false,
ea7935c6-5675-4943-a262-033ab45f13a1,5,"y = -2x² + 3，开口向下，对称轴为 x=0，顶点坐标为 (0,3)；由 y=-2x² 向上平移 3 个单位得到","(1) 把A,B代入
{1=a+c
{-5=4a+c
a=-2
c=3",arithmetic_mismatch,false,
85e391bf-81f4-4736-9c8d-c811a565643a,3,y = -1/3(x + 3)²,y = -\frac{1}{3}(x + 3)^2,serial_pollution,false,
7639eee3-2891-43fb-9bb8-8a4346290476,2,"a < 1, 高","a < 1, 高",arithmetic_mismatch,true,
ea7935c6-5675-4943-a262-033ab45f13a1,3,a = -1/4，函数表达式为 y = -1/4 x²,"把A代入
-1/4 = a
y = -1/4 x²",arithmetic_mismatch,true,
7495d7be-9b49-411d-ae8e-c5a11c13bda8,10,(1) =；(2) <,"=,<",arithmetic_mismatch,false,
ea7935c6-5675-4943-a262-033ab45f13a1,2,"开口方向：向上；对称轴：x=1；顶点坐标：(1,0)；变化规律：当x<1时，y随x增大而减小；当x>1时，y随x增大而增大；有最小值，当x=1时取得最小值0","true, 上, x=1, (1,0), 最小值, 1",arithmetic_mismatch,true,
73e54aef-882f-4647-a3c1-d461cb861c59,1,"下,2,上,2","下, 2, 上, 2",arithmetic_mismatch,true,
85e391bf-81f4-4736-9c8d-c811a565643a,3,y = -1/3x² - 3,y = -1/3x² - 3,arithmetic_mismatch,true,
ea7935c6-5675-4943-a262-033ab45f13a1,1,"下,2,上,2","左, 2, 右, 2",arithmetic_mismatch,true,
af756133-16f8-4386-8f94-0fb68c95e5f3,1,"上,x=-2,(-2,-1),-2,小,-1","上, 直线x=-2, (-2,-1), -2, 小, -1",arithmetic_mismatch,true,
85e391bf-81f4-4736-9c8d-c811a565643a,3,y = -1/3x² + 3,y = -1/3x² + 3,arithmetic_mismatch,true,
ddcfedfe-b24c-4b97-b2bc-8eaf06c32c29,3,a > 2,a > 2,arithmetic_mismatch,true,
ddcfedfe-b24c-4b97-b2bc-8eaf06c32c29,4,"y = -2x², (0,0), x=0, 向下, 顶点在原点，开口向下, 不在","(1) y=4x²
(2) (0,4), y轴, 向上
(3) 否",arithmetic_mismatch,false,
73e54aef-882f-4647-a3c1-d461cb861c59,3,y=-1/3(x-3)²,y = -\frac{1}{3}(x - 3)^2,serial_pollution,false,
87240cbf-abd5-45ea-972d-55befd4037f8,11,整数或简单分数，再核对：2又11/25的算术平方根……实际上 61/25 的61不是完全平方数，所以答案应为 √61/5,"解：(1) √49=7；(2) √(169/196)=13/14；(3) √(361/256)=19/16；(4) 2又11/25=61/25, √(61/25)=8/5；(5) 12.25=(35/5)²=(12.5)², √12.25=3.5",arithmetic_mismatch,false,
7639eee3-2891-43fb-9bb8-8a4346290476,4,"y=4x², B(m,4)，m=-1，点A与点B关于抛物线的对称轴对称, D(n,-4an²)","将A(-1,4)代入y=ax²得4=a(-1)²，a=4，所以y=4x², 将B(m,4)代入y=4x²得4=4m²，m=±1，因为A、B不同，所以m=1，B(1,4)。是, 因为C(n, 4n²)，对称轴是y轴，所以D(-n, 4n²)",answer_sign_mismatch,false,
73e54aef-882f-4647-a3c1-d461cb861c59,3,y = -1/3(x + 3)²,y = -\frac{1}{3}(x + 3)^2,serial_pollution,false,
